Domain Name ,Agency 
istanabudaya.gov.my,Portal Rasmi Istana Budaya
mpi.gov.my,Kementerian Industri Utama: MPI Malaysia
cidb.gov.my,Portal Rasmi CIDB 
kraftangan.gov.my,Kraftangan Malaysia
nuclearmalaysia.gov.my,Laman Rasmi Agensi Nuklear Malaysia
ppj.gov.my,Perbadanan Putrajaya
jpa.gov.my,JPA
mara.gov.my,PDC 
mot.gov.my,Ministry of Transport Malaysia
kpa.gov.my,Kuching Port Authority
sc.gov.my,Securities Commission
mpklang.gov.my,Portal Rasmi Majlis Perbandaran Klang (MPK)
melaka.gov.my,Portal Rasmi Kerajaan Negeri Melaka
tourism.terengganu.gov.my,Tourism Terengganu - LAMAN UTAMA
jpn.gov.my,Jabatan Pendaftaran Negara – Rakyat di Hati JPN
jpm.gov.my,Jabatan Perdana Menteri: Laman Utama
eperolehan.gov.my,ePerolehan
eroses.gov.my,eROSES
bis.lppeh.gov.my,LPPEH (BIS)
tariff.customs.gov.my,JKDM HS Explorer
ekonsular.kln.gov.my,e-Consular
sso.rmp.gov.my,SSO PDRM
met.gov.my,MetMalaysia
jobsmalaysia.gov.my,JobsMalaysia
newss.statistics.gov.my,eStatistik
u-library.gov.my,u-Pustaka
rac.gov.my,Perbadanan Aset Keretapi
semakanrebat.mestecc.gov.my,Semakan Rebat Bil Elektrik
akademisains.gov.my,Academy of Sciences Malaysia: ASM
mampu.gov.my,Mampu
dsd.gov.my,Jabatan Pembangunan Kemahiran
dca.gov.my,Civil Aviation Authority of Malaysia
jpph.gov.ph,JPPH
